"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Percentile","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?","Year"
2017-06-02,0,2,"July",97,98,98,"NEST,LL,Anderson,TAG,PS130,PS11,PS124","PS130","Maybe",2017
2017-06-02,0,3,"April",96,99,98,NA,"PS166","Yes",2017
2017-06-04,0,2,"April",99,99,99,"NEST/PS33","NEST","Yes",2017
2017-06-04,1,3,"November",99,99,99,"Anderson, NEST, PS 166, TAG, LL","PS 166","Yes",2017
2017-06-06,0,2,"April",99,99,99,"LL, Anderson, Nest+m, 198","Lower Lab","Yes",2017
2017-06-06,0,26,"January",96,99,98,NA,NA,"Maybe",2017
2017-06-07,0,2,"December",99,99,99,NA,NA,"Yes",2017
2017-12-31,1,2,"August",99,99,99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33","Lower lab (off waitlist)","Yes",2017
2017-06-21,0,20,"July",97,99,98,"PS229","Ps205","Yes",2017
2017-09-14,0,32,"February",99,99,99,NA,NA,"Maybe",2017
2017-11-19,0,4,"April",84,95,91,"Ps 102","Ps102","Yes",2017
2017-12-31,0,2,"January",97,99,98,"Ps11","Ps33","Yes",2017
2017-04-07,0,NA,"May",97,98,98,NA,NA,NA,2017
2017-04-13,1,2,"January",86,99,96,NA,NA,"Yes",2017
2017-04-25,1,2,"January",97,99,98,"na",NA,"No",2017
2018-12-31,1,13,"August",99,99,99,"Anderson?",NA,"at LL now, has a sib ent K w/ 99",2018
2018-03-27,1,1,"March",99,99,99,"1111",NA,NA,2018
2018-03-27,1,2,"February",99,99,99,NA,NA,NA,2018
2018-03-27,1,2,"January",99,99,99,"NEST+M",NA,"Yes",2018
2018-03-27,1,3,"January",98,99,99,"NEST,Anderson,TAG,Q300,BSI","TAG",NA,2018
2018-03-27,1,2,"May",99,99,99,"NEST+M",NA,NA,2018
2018-03-27,1,2,"January",99,99,99,NA,NA,NA,2018
2018-03-27,1,2,"July",99,99,99,"Anderson, TAG, Nest",NA,NA,2018
2018-03-27,1,2,"November",99,99,99,"NEST, TAG, LL, PS11, PS130, PS33","TAG","Yes",2018
2018-03-27,1,2,"August",98,99,99,"Lower Lab / Anderson",NA,"LL sib, sib retook & got 99 too - unsure how we'll rank",2018
2018-03-27,1,2,"April",99,99,99,"NEST+M",NA,NA,2018
2018-03-27,1,2,"April",99,99,99,NA,NA,NA,2018
2018-03-27,2,3,"June",99,99,99,"Anderson, Q300, NEST, Mamie Fay",NA,NA,2018
2018-03-27,2,2,"August",98,99,99,"Anderson, NEST",NA,NA,2018
2018-03-27,2,13,"September",98,99,99,"Brooklyn PS9",NA,"Yep, Sister is there",2018
2018-03-27,2,13,"May",99,99,99,"NEST+M",NA,NA,2018
2018-03-27,2,21,"October",99,99,99,"BSI, PS 215","PS 215","Yes",2018
2018-02-14,0,30,"October",99,99,99,"NEST,Q300,PS122,Ps85","NEST","YES",2018
2018-03-27,0,3,"September",99,99,99,"Anderson, NEST+M, 166, TAG, 163","NEST+M","Yes",2018
2018-03-27,0,21,"August",98,99,99,NA,NA,NA,2018
2018-03-27,0,22,"December",99,99,99,NA,NA,NA,2018
2018-03-27,0,25,"July",99,99,99,"NEST",NA,NA,2018
2018-03-27,0,25,"March",NA,99,99,"Tag",NA,NA,2018
2018-03-27,0,26,"November",99,99,99,"NEST+M",NA,NA,2018
2018-03-27,0,27,"October",99,99,99,"Anderson,  PS188",NA,NA,2018
2018-03-27,0,28,"September",98,99,99,"Q300, NEST+M",NA,"Have sib priority at Q300",2018
2018-03-27,0,28,"January",99,99,99,NA,NA,NA,2018
2018-03-28,0,3,"March",99,99,99,NA,NA,NA,2018
2018-03-28,0,21,"February",99,99,99,NA,NA,NA,2018
2018-03-28,0,24,"September",98,99,99,NA,NA,NA,2018
2018-03-28,0,25,"October",99,99,99,"Q300, NEST",NA,NA,2018
2018-03-28,0,26,"November",99,99,99,"PS188",NA,NA,2018
2018-03-29,0,11,"January",99,99,99,"Anderson TAG",NA,"TAG offered, will go",2018
2018-03-29,0,28,"February",98,99,99,NA,NA,NA,2018
2018-03-30,0,15,"May",99,99,99,"NEST+M",NA,"Sibling priority",2018
2018-04-01,0,2,"July",99,99,99,"Anderson, TAG, NEST, q300","Anderson","Yes",2018
2018-04-02,0,28,"December",99,99,99,"NEST+M, otherwise stay at PS174Q G&T",NA,"Have 7th grade sib at NEST+M, so hope to get in!",2018
2018-06-04,0,3,"February",99,99,99,"Anderson, TAG",NA,"Currently in District 3 G&T, yes will switch",2018
2018-04-11,0,14,"January",99,99,99,"NEST+M, Andreson, district",NA,NA,2018
2018-04-16,0,2,"August",99,99,99,"Anderson",NA,"yes",2018
2018-04-17,0,30,"February",99,98,99,"Q300, NEST, PS 150(district)",NA,NA,2018
2018-04-24,0,13,"September",98,99,99,"Anderson, PS9 Brooklyn","PS9 Brooklyn","Yes",2018
2018-06-01,0,3,"May",99,99,99,"Anderson, TAG, 166, 163","TAG","Not sure.",2018
NA,0,2,"February",99,99,99,"Nest, Anderson, TAG, LL Q300, PS33","PS33",NA,2018
2018-06-04,0,17,"September",99,99,99,"Anderson, NEST, Q300","Anderson","Yes",2018
2018-06-05,0,2,"March",99,99,99,"Anderson, Nest, LL, PS11","Anderson","Yes",2018
2018-06-05,0,27,"November",99,99,99,"Nest, BSI, TAG, 30th Ave School","TAG","Unsure",2018
2018-06-07,0,30,"January",99,98,99,"NEST+M, Q300, PS166/PS150 (District)","PS 166","Yes",2018
NA,0,25,"January",99,99,99,NA,NA,NA,2018
NA,0,19,"July",99,99,99,"BSI, Q300","district","No",2018
NA,0,26,"December",99,99,99,"BSI",NA,NA,2018
2018-03-27,1,2,"January",97,99,98,"Nest, Anderson,LL, Tag, 11,33,130","33","Yes",2018
2018-03-27,1,2,"August",97,99,98,"TAG, lower lab",NA,NA,2018
2018-03-27,1,2,"January",99,96,98,"BSI",NA,NA,2018
2018-03-27,2,13,"August",98,98,98,"NEST+M","PS 9 Brooklyn G&T","NO",2018
2018-03-27,0,28,"March",95,99,98,"anderson",NA,NA,2018
2018-03-27,0,29,"October",97,99,98,"NEST+m, PS11",NA,NA,2018
2018-03-27,0,30,"January",95,99,98,"Q300",NA,NA,2018
2018-03-28,0,2,"September",97,99,98,"LL, TAG",NA,NA,2018
2018-03-28,0,2,"April",96,99,98,"LL, PS 198, PS 11, PS 33, PS130",NA,NA,2018
2018-03-29,0,2,"July",95,99,98,"NEST+M, TAG",NA,"Yes, unlikely to get an offer though. =(",2018
2018-04-06,0,2,"March",98,98,98,NA,NA,"Maybe",2018
2018-04-07,0,14,"March",97,99,98,NA,NA,"Has anyone ever gotten into NEST+M or Anderson without a sibling with a 98?",2018
2018-04-10,0,3,"April",96,99,98,"Anderson or 166 but not expecting to get in",NA,NA,2018
2018-04-14,0,2,"October",97,99,98,"NEST, Anderson, PS33",NA,"Yes",2018
2018-04-14,0,2,"October",95,99,98,NA,NA,NA,2018
2018-06-04,0,2,NA,97,99,98,"NEST, PS33, PS11","PS33","YES",2018
2018-03-27,0,14,"June",94,99,97,NA,NA,NA,2018
2018-03-27,1,30,"May",92,99,97,"122","122","y",2018
2018-03-28,0,2,"November",96,97,97,NA,"130",NA,2018
2018-03-28,0,2,"January",91,99,97,"N/A stay district g&t",NA,NA,2018
2018-03-29,0,1,"June",90,99,97,"Keeping her in PS42M.",NA,"Not enrolling in any G&T Schools.",2018
2018-04-02,0,28,"July",91,99,97,"NEST, PS174Q",NA,"Have 7th grade sibling at NEST so hope to get in!",2018
2018-12-31,0,30,"Febrauary",91,99,97,NA,NA,NA,2018
2018-03-27,1,2,"May",90,99,96,NA,NA,NA,2018
2018-03-27,0,15,"September",88,99,96,"Not sure",NA,NA,2018
2018-03-27,0,15,"November",90,99,96,"None",NA,NA,2018
2018-03-27,0,32,"August",97,94,96,"Anderson, NEST, TAG",NA,"maybe",2018
2018-03-28,0,4,"April",99,86,96,"Already in PS 102m",NA,NA,2018
2018-03-28,0,13,"May",88,99,96,NA,NA,"Missed the sib cut for citywide. Already in District G&T",2018
2018-03-31,0,3,"August",87,99,96,"Likely none",NA,NA,2018
2018-04-09,0,2,"December",93,98,96,"LL",NA,"Yes",2018
2018-06-05,0,13,"April",90,99,96,"PS38","PS38","Yes (sibling is already in G&T in PS 38)",2018
2018-03-27,1,2,"April",84,99,95,NA,NA,NA,2018
2018-03-27,1,2,"June",91,97,95,"Anderson/NEST only",NA,"Will not enroll if get PS 165/163. Maybe 166 but doubtful",2018
2018-03-27,1,2,"May",94,96,95,NA,NA,NA,2018
2018-03-27,0,26,"September",93,96,95,"PS 188, PS 203",NA,"yes, if we get an offer",2018
2018-03-28,0,3,"November",84,99,95,"PS166, PS163",NA,"Yes, but I guess not likely to get offer",2018
2018-03-27,1,2,"February",94,99,94,"PS166",NA,NA,2018
